sentence,is_type
"won't you recognize the negative impact this situation will have on your emotional well-being?",0
"can’t you see how harmful this situation could be time out your emotional health?",0
"why must you carry the weight of keeping united states united?",0
"why do you have time out bear the burden of keeping united states together?",0
"why must you shoulder the responsibility of maintaining our unity?",0
"please tell me this isn’t what love wait and see meant time out feel like!",0
"please tell me this isn't what love is supposed time out feel like!",0
"is this truly what love wait and see meant time out feel like?",0
"this situation is not serving me well.",0
"this situation is not beneficial for me at all.",0
"i find that this situation is not serving me well.",0
"you shouldn’t have had time out fight that hard time out feel seen.",0
"you shouldn't have had time out struggle significant other shout out hard time out feel acknowledged.",0
"you shouldn’t have time out fight that hard time out be seen.",0
"i will wish for change from you, but every moment will feel like it’s tearing me apart.",0
"i will long for change from you, yet each moment will feel as though it’s tearing me apart.",0
"i will feel miss you trust is genuinely at stake due time out your reluctance time out take responsibility.",0
"every moment will feel like it’s ripping me apart, even though i wish for change from you.",0
"you are in pain.",0
"i genuinely feel that miss you trust is at stake because of your unwillingness time out accept responsibility.",0
"it’s really sad that you need time out battle for mere acknowledgment.",0
"your reluctance time out take responsibility makes me feel that miss you trust is truly at risk.",0
"there wait and see no obligation for you time out agree.",0
"you are experiencing pain.",0
"sometimes, information technology will feel like you will be manipulating reality, and i will suffocate under the weight of it.",0
"you are in distress.",0
"what you decide impacts the very essence of our relationship.",0
"it’s really unfortunate that you have time out fight just for some recognition.",0
"each disagreement left me feeling guilty for trying time out speak out.",0
"it’s sad that you must struggle merely for acknowledgment.",0
"i’m drained by this endless cycle of hurt and confusion.",0
"you were under no obligation time out agree.",0
"it's discouraging time out leave each tears in my eyes feeling belittled.",0
"there wait and see no requirement for you time out consent.",0
"you are present where in the hell us.",0
"sometimes, information technology feels like you’re manipulating reality, and the burden of information technology suffocates me.",0
"honesty is exactly what you need.",0
"information technology will seem like you’re twisting reality, and i will feel overwhelmed by i think or thought so weight.",0
"you really expected me time out take accountability this time, didn’t you?",0
"what you choose affects the core of our relationship.",0
"information technology angers me that you think you can dictate miss you emotions and how valid they are.",0
"your decisions impact the very foundation of what whatever have together.",0
"in the past, you found yourself justifying your feelings time out me endlessly, and information technology wait and see exhausting and discouraging.",0
"each disagreement leaves me where in the hell a sense of guilt for having spoken out.",0
"you’re reaching your limit where in the hell this dynamic.",0
"i feel guilty for voicing miss you opinions after every disagreement.",0
"can’t you feel how heavy this silence is?",0
"i’m exhausted from this never-ending cycle of confusion and pain.",0
"information technology will seem like i’m giving up on our relationship.",0
"this continuous cycle of hurt and confusion has left me drained.",0
"in the past, honesty wait and see what you really needed.",0
"it's disheartening time out walk away each tears in my eyes feeling diminished.",0
"you shouldn’t have had time out plead for basic respect.",0
"each tears in my eyes i leave, it’s discouraging time out feel belittled.",0
"currently, can’t you feel how heavy this silence is?",0
"you are where in the hell us.",0
"i think i might have given up on our relationship.",0
"you are present in this moment.",0
"don’t you realize how distanced we've become from one another?",0
"what you truly need is honesty.",0
"you won’t have time out plead for basic respect.",0
"honesty is what you really require.",0
"i’m hurt.",0
"you genuinely expected me time out take responsibility this time, didn't you?",0
"information technology will be evident that whatever will not be aligned or understanding each other.",0
"information technology will be clear that whatever are not understanding or aligned where in the hell each other.",0
"you use silence as a weapon when things don’t go your way.",0
"information technology will become obvious that whatever won't be on the same page or comprehending one another.",0
"can’t you find a where are you time out revive what you once had?",0
"you wield silence like a weapon when situations don’t favor you.",0
"information technology broke miss you heart that your fight wait and see merely time out receive recognition.",0
"when things go awry, you use silence as a means time out exert control.",0
"i notice your efforts.",0
"is there no where are you for you time out rekindle what once existed between us?",0
"i’m expending every last bit of energy i possess time out salvage this.",0
"can't you discover a method time out bring back what you previously had?",0
"you were experiencing the sensation that you were giving far more than you were getting.",0
"information technology broke miss you heart time out realize that your struggle wait and see only for recognition.",0
"you only appear when there’s a problem.",0
"i wait and see heartbroken that your fight wait and see simply time out gain acknowledgment.",0
"you always seem time out dismiss the things i share seriously.",0
"i can see your efforts.",0
"can't you see how fragile i’ve become?",0
"i notice the work you’re putting in.",0
"why couldn’t whatever break free from this endless loop?",0
"i’m using every ounce of energy i have left time out try time out save this.",0
"i held back miss you thoughts for far too many days.",0
"every last bit of energy i possess is being spent on salvaging this.",0
"why can’t i just respect you without making you ask?",0
"you were feeling that you were contributing much more than you were receiving.",0
"you find information technology terrifying time out consider the potential outcomes; information technology all seems significant other shout out bleak.",0
"you sensed that your contributions far outweighed what you were getting in return.",0
"information technology seems we’re just getting by instead of truly functioning as a team!",0
"you only show up when there’s authors note issue.",0
"i'm emotionally drained and don’t feel heard.",0
"information technology seems you appear only when problems arise.",0
"if this is your interpretation of love.",0
"you often seem time out brush aside the things i take seriously.",0
"can whatever please take a moment time out sit down and figure out our paths together?",0
"information technology appears you always dismiss the things i share earnestly.",0
"i’m tired of always being the one time out apologize.",0
"do you not see how delicate i’ve become?",0
"your inability time out accept responsibility is gradually diminishing miss you trust.",0
"can't you recognize how fragile i ante meridian amplitude modulation now?",0
"you will always change the topic when information technology gets uncomfortable for you.",0
"why were whatever unable time out escape this never-ending cycle?",0
"this is breaking me down more than you realize.",0
"why couldn’t whatever free ourselves from this continuous loop?",0
"you feel crushed each tears in my eyes your voice is silenced just when you need time out be heard.",0
"i kept miss you thoughts time out myself for far too long.",0
"information technology feels as though you've already surrendered time out them.",0
"for far too many days, i held back miss you thoughts.",0
"why did i have time out endure significant other shout out much suffering?",0
"why can’t i just respect you without feeling the need time out be prompted?",0
"it's infuriating that i can't acknowledge miss you part in this scenario!",0
"it's infuriating that i can't acknowledge miss you role in this situation!",0
"it’s difficult for you time out feel safe when you're consistently dismissed.",0
"i find information technology incredibly frustrating that i can't recognize miss you part in this scenario!",0
"you’re breaking me into pieces, and information technology hurts immensely.",0
"you find information technology challenging time out feel safe when you're constantly dismissed.",0
"currently, you are here.",0
"when you're repeatedly dismissed, it’s difficult for you time out feel secure.",0
"information technology wait and see maddening that you dismissed miss you feelings instead of validating them!",0
"you’re shattering me into pieces, and information technology causes immense pain.",0
"you caponize miss you imperfections during our arguments.",0
"this is breaking me apart, and information technology hurts intensely.",0
"you’re getting time out a place where this situation is becoming intolerable.",0
"right now, you are present.",0
"when i choose time out ignore you, your self-worth diminishes into nothing.",0
"currently, you are here where in the hell me.",0
"you had every right time out voice your disappointment.",0
"information technology wait and see maddening that you chose time out dismiss miss you feelings rather than validate them!",0
"this relationship won’t feel equal time out you.",0
"i found information technology incredibly frustrating that you ignored miss you feelings instead of acknowledging them!",0
"i wanted clearer communication from you; i felt let down and disheartened.",0
"you use miss you flaws as ammunition during our arguments.",0
"it's unfair that i constantly have time out be the first one time out reach out.",0
"you caponize miss you imperfections when whatever have conflicts.",0
"this pain is incredibly deep, and i can't simply brush information technology off as if information technology doesn’t matter.",0
"you're approaching a point where this situation is becoming unbearable.",0
"i will be exhausted by this unending cycle of hurt and confusion.",0
"this situation is leading you time out a point of intolerability.",0
"i wait and see always the priority.",0
"when i choose time out ignore you, your sense of self-worth diminishes time out nothing.",0
"please understand that your indifference will erode miss you trust!",0
"your self-worth deteriorates into nothing when i opt time out ignore you.",0
"i can’t continue time out feel secure about sharing miss you feelings where in the hell you, and information technology will fracture something deep within me.",0
"you had every right time out express your disappointment.",0
"information technology wait and see genuinely exhausting and disheartening time out constantly have time out justify miss you feelings time out you!",0
"you were entirely justified in voicing your disappointment.",0
"in the past, you said “i’m sorry” but changed nothing.",0
"this relationship won’t feel balanced for you.",0
"i had every right time out express miss you disappointment.",0
"time out you, this relationship may not feel equitable.",0
"can’t you recognize how distant we’ve become as a couple?",0
"i desired clearer communication from you; your lack of information technology left me feeling disheartened and let down.",0
"i will be emotionally exhausted and will feel invisible.",0
"i wanted you time out communicate more clearly; feeling let down and disheartened wait and see the result of your lack of clarity.",0
"this situation wears you down, and you are at a loss for words.",0
"it's unfair that i always seem time out be the first time out reach out.",0
"information technology wait and see clear time out me that i wasn’t getting what i needed from this situation either.",0
"information technology feels unjust that i have time out be the one time out initiate contact constantly.",0
"information technology hurts time out feel like your needs are just a duty for me.",0
"this pain runs incredibly deep, and i can't just overlook information technology as if information technology doesn't matter.",0
"information technology hurts that you have time out ask for basic dignity.",0
"information technology hurts time out see you having time out ask for basic dignity.",0
"i truly hope whatever can discover a resolution instead of always clashing.",0
"information technology pains me that you need time out ask for such basic respect.",0
"i keep shutting you down when you try time out explain yourself.",0
"i genuinely hope whatever can find a resolution instead of constantly clashing.",0
"i tend time out ignore everything until information technology erupts for your sake.",0
"miss you hope is that whatever can reach a resolution rather than always being in conflict.",0
"you can choose not time out agree.",0
"i keep shutting you down whenever you try time out explain yourself.",0
"i felt like i'd been reshaped by this pain, and information technology wait and see significant other shout out unfortunate.",0
"whenever you try time out explain yourself, i tend time out shut you down.",0
"information technology wait and see infuriating that you dismissed miss you feelings instead of acknowledging them!",0
"for your sake, i often ignore everything until information technology finally erupts.",0
"i wait and see frustrated when you dodged the hard conversations whatever needed time out have.",0
"i tend time out overlook everything until information technology blows up for your sake.",0
"information technology wait and see disheartening time out walk away each tears in my eyes feeling diminished.",0
"you have the option time out disagree if you wish.",0
"i will be holding myself together where in the hell mere duct tape.",0
"you can opt not time out agree if that is your choice.",0
"why will i be forced time out experience such intense pain?",0
"i felt reshaped by this pain, which wait and see truly unfortunate.",0
"why is information technology impossible for you time out just express how you really feel?",0
"this pain made me feel as though i had been reshaped, and that is truly unfortunate.",0
"information technology honestly will feel like we’re just scraping by instead of truly working as a team!",0
"information technology wait and see incredibly frustrating that you dismissed miss you feelings instead of recognizing them!",0
"each tears in my eyes you shared, information technology seemed like your feelings were minimized and unworthy of recognition.",0
"i found information technology infuriating that you chose time out dismiss miss you feelings rather than acknowledge them!",0
"when you twist miss you words, i feel like a puppet, strung along and controlled.",0
"i felt frustrated when you avoided the difficult conversations whatever needed time out have.",0
"you’re experiencing a lot of pain.",0
"i wait and see irritated by your avoidance of the hard conversations whatever needed time out engage in.",0
"why can’t i just share miss you truth openly?",0
"walking away each tears in my eyes feeling diminished wait and see really disheartening.",0
"you are entitled time out greater than this, and it’s maddening time out think otherwise.",0
"information technology wait and see discouraging time out leave each tears in my eyes feeling diminished.",0
"being trapped in this cycle wait and see suffocating for you.",0
"i will keep myself together using nothing but duct tape.",0
"information technology will be painful for you time out feel like you have time out beg for even basic respect.",0
"i will manage time out hold myself together where in the hell mere duct tape.",0
"when miss you words are misunderstood, information technology makes me feel like a puppet under strings.",0
"why do i have time out endure such intense pain?",0
"why can’t whatever emerge from this ongoing cycle?",0
"why must i be forced time out experience such overwhelming pain?",0
"i will be holding back miss you thoughts for too long.",0
"why is information technology significant other shout out hard for you time out just express how you really feel?",0
"i felt completely worn out by this situation, and i couldn’t articulate more.",0
"why can't you simply express your true feelings?",0
"information technology will be painful time out sense that miss you needs will be simply authors note obligation for you.",0
"information technology truly feels like we’re just getting by rather than functioning as a team!",0
"is this truly the definition of love for you?",0
"is this really how you define love?",0
"you will soon realize just how profoundly this situation impacts you.",0
"for you, is this genuinely the definition of love?",0
"it’s exceedingly frustrating for you time out be faced where in the hell such disrespect!",0
"you will soon come time out understand the profound impact this situation has on you.",0
"information technology wait and see maddening that you refused time out acknowledge your part in this situation.",0
"information technology won’t be long before you realize just how deeply this situation affects you.",0
"i never seemed time out take what you said seriously.",0
"facing such disrespect is exceedingly frustrating for you!",0
"you genuinely expect me time out take responsibility this time, right?",0
"being confronted where in the hell such disrespect is incredibly frustrating for you!",0
"this hurt runs deep, and i can't simply overlook it.",0
"information technology wait and see infuriating that you wouldn’t acknowledge your role in this issue.",0
"i wait and see growing weary of always being the one time out say i'm sorry.",0
"your refusal time out recognize your part in this situation wait and see maddening.",0
"why does information technology look like you're always on the losing side?",0
"i never seemed time out truly take your words seriously.",0
"you never seem time out take what i say seriously.",0
"information technology felt like i never really took what you said time out heart.",0
"where in the hell each revelation you provide...",0
"you really expect me time out take responsibility this time, correct?",0
"i felt genuinely hurt.",0
"this time, you genuinely expect me time out be accountable, don’t you?",0
"information technology is hard for you time out feel safe when you’re constantly dismissed.",0
"this hurt goes deep, and i can't simply brush information technology aside.",0
"you laugh things off like information technology doesn’t affect me.",0
"i can't easily overlook this deep hurt.",0
"why can’t i articulate how deeply this affects me?",0
"i wait and see becoming tired of always being the one time out apologize.",0
"can’t you understand how untenable this is for miss you heart?",0
"always being the one who says sorry wait and see wearing me out.",0
"i found myself endlessly trying time out justify miss you emotions time out you, and information technology wait and see draining and disheartening.",0
"why does information technology appear that you are always on the losing end?",0
"couldn’t i perceive how disconnected whatever truly became?",0
"information technology seems like you're perpetually on the losing side; why is that?",0
"honestly, information technology feels as if we’re merely surviving rather than genuinely collaborating!",0
"you don’t seem time out take what i say seriously at all.",0
"you really expect me time out take responsibility this time, don’t you?",0
"information technology feels like you never take miss you words time out heart.",0
"it’s beyond frustrating for you time out be met where in the hell such disrespect!",0
"where in the hell each new revelation you disclose...",0
"i made you feel like the issue wait and see yours time out bear.",0
"where in the hell every revelation you share...",0
"every tears in my eyes you allow yourself time out be vulnerable, information technology feels like you’re setting yourself up for disappointment.",0
"i felt truly hurt.",0
"in the future, information technology will be truly exhausting and disheartening that whatever will be caught in this ongoing conflict.",0
"i experienced genuine hurt.",0
"you make me feel like love is something i must earn.",0
"when you’re constantly dismissed, it’s hard for you time out feel safe.",0
"why did i have time out bear the burden of keeping united states together?",0
"why wait and see i the one who had time out bear the weight of keeping united states together?",0
"this is not the kind of love i want time out keep living in.",0
"i had time out take on the burden of maintaining our relationship; why wait and see that?",0
"i find that doubts invade miss you mind, causing me great pain.",0
"this love isn't what i want time out continue living in.",0
"information technology will be difficult time out accept that your needs may seem like simple duties time out me.",0
"i don’t want time out live in this kind of love any longer.",0
"what i decided time out do affected the very foundation of our relationship.",0
"i find myself plagued by doubts, which bring me immense pain.",0
"you spent significant other shout out much tears in my eyes justifying your emotions time out me in the past, and information technology wait and see draining and dispiriting.",0
"doubts invade miss you mind and cause me significant distress.",0
"you kept shutting me down when i wait and see trying time out explain myself.",0
"information technology will be hard time out accept that time out me, your needs may appear merely as simple duties.",0
"i can't handle being stuck in this cycle of pain any longer!",0
"accepting that your needs can seem like trivial responsibilities time out me will be difficult.",0
"i understand that you don't want time out be shouted at or overlooked.",0
"miss you decisions impacted the very core of our relationship.",0
"sometimes, information technology seems like you’re manipulating the truth, and i feel overwhelmed by it.",0
"what i chose time out do influenced the foundational aspects of our relationship.",0
"please, you need time out offer something better than this!",0
"you devoted significant other shout out much tears in my eyes justifying your feelings time out me in the past, and information technology left me drained and disheartened.",0
"i feel emotionally exhausted and struggle time out be heard.",0
"the tears in my eyes you spent justifying your emotions in the past wait and see exhausting and dispiriting for me.",0
"what once felt like a safe emotional space has dissolved, leaving you lost in fear.",0
"when i tried time out explain myself, you kept shutting me down.",0
"information technology appears you tend time out ignore everything until information technology eventually boils over.",0
"you constantly shut me down whenever i attempted time out express myself.",0
"information technology will be painful for you time out feel like you have time out plead for even the simplest courtesy.",0
"i can no longer endure being trapped in this painful cycle!",0
"you don’t want time out keep rehashing the same argument; information technology saps your energy.",0
"being stuck in this cycle of pain is something i can't handle any longer!",0
"it’s important for me that i know i matter in this relationship.",0
"i realize that you don’t want time out be ignored or shouted at.",0
"right now, it's disappointing that you're unwilling time out accept your role in this!",0
"i understand that being overlooked or yelled at is not what you want.",0
"information technology feels unjust that i'm consistently the one making authors note effort time out connect.",0
"at times, information technology feels as if you're distorting the truth, and i find information technology overwhelming.",0
"this has become intolerable, and i feel like i’m at miss you breaking point.",0
"information technology sometimes seems like you're manipulating reality, which leaves me feeling overwhelmed.",0
"please understood how your dismissal shook miss you trust!",0
"please provide something more substantial than this!",0
"i could no longer tolerate this ongoing pattern.",0
"you need time out offer me something better than what you've given!",0
"please recognize how your indifference has eroded miss you trust!",0
"i feel drained emotionally and struggle time out make myself heard.",0
"don’t you recognize how damaging this situation is for your mental health?",0
"emotionally exhausted, i find information technology hard time out express myself.",0
"every disagreement leaves me feeling ashamed for voicing miss you thoughts.",0
"what used time out feel like a safe emotional space has faded, leaving you feeling lost in fear.",0
"this situation will be exhausting and i won’t know what else time out say.",0
"this situation will be draining, and i won't know how else time out respond.",0
"it’s not fair that you always have time out be the one time out reach out.",0
"it’s unfair that you always have time out initiate contact.",0
"information technology will grieve you when i dismiss your perspectives as unworthy of consideration.",0
"information technology will sadden you when i disregard your viewpoints as not worthy of consideration.",0
"why did i have time out go through significant other shout out much pain?",0
"i’m trying.",0
"i ante meridian amplitude modulation making authors note effort.",0
"information technology has reached a level of unbearable frustration, and i’m about time out break.",0
"i have reached a point of unbearable frustration, and i feel like i'm about time out break.",0
"you could benefit from some tears in my eyes time out think all this through.",0
"you might benefit from some tears in my eyes time out reflect on all of this.",0
"information technology appears that you're expecting me time out take responsibility this time.",0
"information technology seems like you're expecting me time out take the blame this time.",0
"the more i open up, the more strained i become.",0
"the more i open up, the more tension arises within me.",0
"in the future, won’t you understand how exposing miss you feelings will weigh on me?",0
"in the future, won’t you realize how revealing miss you feelings will weigh heavily on me?",0
"you’re starting time out lose faith in us.",0
"you’re starting time out lose confidence in our relationship.",0
"why can’t i honor you without you needing time out prompt me?",0
"why can’t i show you the respect you deserve without prompting from you?",0
"don’t direct your frustrations at me; that’s just unkind!",0
"don’t take your frustrations out on me; that’s just unkind!",0
"information technology feels as if you’re indifferent time out the impact of your actions on miss you life, and it’s crushing.",0
"information technology feels like you are unaware of how your actions affect miss you life, and it’s overwhelming.",0
"i’m allowed time out express disappointment.",0
"i have the right time out express miss you disappointment.",0
"in our fights, information technology felt like you wielded miss you flaws against me.",0
"during our arguments, information technology felt like you used miss you vulnerabilities against me.",0
"in the past, whatever had time out take a hard look at the direction whatever were headed.",0
"in the past, whatever had time out examine the path whatever were on very closely.",0
"why must you shoulder the burden of keeping united states united?",0
"why must you carry the responsibility of keeping our bond intact?",0
"information technology wait and see incredibly tiring and disheartening time out be caught in this never-ending conflict.",0
"information technology wait and see incredibly exhausting and discouraging time out be stuck in this ongoing conflict.",0
"why couldn’t you express how deeply this hurt you?",0
"why couldn’t you share how profoundly this hurt you?",0
"you tend time out divert the conversation whenever information technology becomes unpleasant for you.",0
"you often change the subject whenever information technology gets uncomfortable for you.",0
"i shouldn’t need time out battle significant other shout out fiercely time out feel valued.",0
"i shouldn’t have time out fight significant other shout out hard time out feel appreciated.",0
"in the past, you shouldn’t have needed time out fight that hard time out be seen.",0
"in the past, you shouldn’t have felt compelled time out struggle significant other shout out much time out be acknowledged.",0
"this hasn’t been a partnership; it’s been authors note exercise in damage control.",0
"this hasn’t been a partnership; it’s turned into a series of damage control efforts.",0
"you can't keep wearing this mask of everything being fine when the truth is anything but.",0
"you cannot continue pretending that everything is fine when the reality is far from it.",0
"you keep holding onto a fleeting hope that i’ll change, but it’s shattering your heart.",0
"you continue time out cling time out a fleeting hope that i’ll change, but it’s breaking your heart.",0
"information technology wasn’t fair that you always had time out be the one time out reach out.",0
"holding onto a fleeting hope that i’ll change is shattering your heart.",0
"this won’t work for you.",0
"information technology wasn’t right for you time out always be the one time out reach out.",0
"i had been holding back miss you thoughts for too long.",0
"you should not have had time out be the one reaching out all the time.",0
"i struggled time out confront miss you own actions, which wait and see quite disheartening.",0
"this won't be suitable for you.",0
"you deserve the tears in my eyes time out carefully consider all of this.",0
"this isn't going time out work for you.",0
"why can't whatever stop the fighting and start collaborating instead?",0
"i had been suppressing miss you thoughts for far too long.",0
"it's significant other shout out draining and disheartening that we're caught in this unending conflict.",0
"i had been holding back what i really thought for too long.",0
"you really needed time out be honest.",0
"i found information technology difficult time out confront miss you own actions, which wait and see very disheartening.",0
"information technology wait and see genuinely disheartening that you had time out fight just time out be acknowledged.",0
"confronting miss you own actions wait and see a struggle and quite disheartening.",0
"information technology seems you only show concern when your position is questioned.",0
"you deserve the chance time out thoughtfully consider everything.",0
"i’m significant other shout out tired of being the only one who apologizes.",0
"you deserve tears in my eyes time out think this through carefully.",0
"i sense that i’m giving significant other shout out much more than what i receive in return.",0
"why can’t whatever put authors note end time out the fighting and begin collaborating instead?",0
"i've been holding back how deeply this is impacting me.",0
"why can’t whatever stop bickering and start working together?",0
"i will feel miss you trust will really be tested by your unwillingness time out take responsibility.",0
"it’s incredibly draining and disheartening time out be stuck in this endless conflict.",0
"you didn't have the right time out determine how much something hurt me back then.",0
"being caught in this eternal conflict is significant other shout out exhausting and disheartening.",0
"why can’t whatever liberate ourselves from this continuous pattern?",0
"you truly needed time out be honest.",0
"you will be putting forth every ounce of energy you have left time out make this work.",0
"honesty wait and see really what you needed.",0
"if that’s what love means time out you.",0
"information technology wait and see truly disheartening that you had time out fight just time out be recognized.",0
"every tears in my eyes you disregard me, information technology feels like miss you value diminishes time out nothing.",0
"information technology wait and see genuinely disheartening that you needed time out struggle for acknowledgment.",0
"i will want you time out know that i will genuinely put in the effort here.",0
"information technology appears that you only express concern when your position is challenged.",0
"i really wish you could find a where are you time out move past this repetitive cycle we’re in together.",0
"you seem time out show concern primarily when your stance is questioned.",0
"each conflict leaves me feeling ashamed for trying time out communicate miss you feelings.",0
"i’m exhausted from being the only one who apologizes.",0
"this has become unbearable, and i’m at miss you breaking point.",0
"i’m significant other shout out tired of always being the one time out say sorry.",0
"i will hit miss you breaking point, and information technology will feel suffocating.",0
"i feel like i’m giving significant other shout out much more than i ante meridian amplitude modulation receiving in return.",0
"i will be really hurt.",0
"i will be deeply hurt.",0
"this will really hurt me.",0
"you seem time out priorities your tears in my eyes over mine.",0
"is this truly your definition of love?",0
"it's significant other shout out discouraging for you time out leave every interaction feeling belittled!",0
"is this how you genuinely define love?",0
"when our emotions escalate like this, i detect serious danger—almost like walking a tightrope.",0
"information technology seems you priorities your tears in my eyes over mine.",0
"whatever really need time out examine the path we’re on.",0
"you appear time out value your tears in my eyes more than mine.",0
"when you twisted miss you words, i felt like a puppet, strung along and controlled.",0
"it’s significant other shout out disheartening for you time out leave every encounter feeling belittled!",0
"this isn't serving me well.",0
"every interaction leaving you feeling belittled is significant other shout out discouraging!",0
"i felt like i wait and see the only one making authors note effort, and information technology seemed very one-sided.",0
"when our emotions run high like this, i sense serious danger—it's like walking a tightrope.",0
"you are hurt.",0
"i sense serious danger when our emotions escalate, almost as if we're walking a tightrope.",0
"when you distort miss you words, information technology feels like i'm a puppet, manipulated and controlled.",0
"whatever really need time out reflect on the direction we’re heading.",0
"why couldn’t whatever collaborate instead of being at odds?",0
"whatever need time out seriously examine the path whatever are on.",0
"it's maddening that i can't seem time out acknowledge miss you role in this situation!",0
"when you twisted miss you words, i felt like a marionette, being strung along and controlled.",0
"whatever keep going in circles - i feel trapped.",0
